Age,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,TDPerGame,IntPerGame,SkPerGame
29.0,17.0,13.0,2.0,2.0,100.0,30.0,1.0,50.0,0.0,0.0,2.0,100.0,28.0,15.0,25.0,15.0,1.8,158.3,100.0,0.0,0.0,0.0,15.0,25.0,0.058823529411764705,0.0,0.0
31.0,4.0,0.0,3.0,5.0,60.0,28.0,0.0,0.0,0.0,0.0,1.0,25.0,18.0,5.6,5.6,9.3,7.0,75.4,5.2,3.0,28.0,37.5,0.0,0.0,0.0,0.0,0.75
29.0,1.0,0.0,3.0,11.0,27.3,28.0,0.0,0.0,0.0,0.0,1.0,9.1,14.0,2.5,2.55,9.3,28.0,39.6,12.4,0.0,0.0,0.0,2.55,2.55,0.0,0.0,0.0
24.0,2.0,0.0,5.0,14.0,35.7,24.0,0.0,0.0,1.0,7.1,1.0,16.7,12.0,1.7,-1.5,4.8,12.0,14.6,2.9,4.0,21.0,22.22,0.17,-2.33,0.0,0.5,2.0
22.0,17.0,7.0,1.0,1.0,100.0,24.0,0.0,0.0,0.0,0.0,1.0,100.0,24.0,24.0,24.0,24.0,1.4,118.7,70.2,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0
25.0,17.0,17.0,1.0,1.0,100.0,22.0,0.0,0.0,0.0,0.0,1.0,100.0,22.0,22.0,22.0,22.0,1.3,118.7,23.7,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0
34.0,8.0,8.0,2.0,4.0,50.0,21.0,0.0,0.0,1.0,25.0,1.0,25.0,18.0,5.3,-6.0,10.5,2.6,26.0,91.0,0.0,0.0,0.0,5.25,-6.0,0.0,0.125,0.0
29.0,15.0,4.0,1.0,1.0,100.0,21.0,1.0,100.0,0.0,0.0,1.0,50.0,21.0,21.0,41.0,21.0,1.4,158.3,99.6,1.0,3.0,50.0,9.0,19.0,0.06666666666666667,0.0,0.06666666666666667
28.0,1.0,0.0,1.0,1.0,100.0,19.0,0.0,0.0,0.0,0.0,1.0,100.0,19.0,19.0,19.0,19.0,19.0,118.7,99.3,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0
23.0,11.0,4.0,1.0,1.0,100.0,19.0,0.0,0.0,0.0,0.0,1.0,100.0,19.0,19.0,19.0,19.0,1.7,118.7,99.5,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0
28.0,17.0,0.0,1.0,1.0,100.0,17.0,0.0,0.0,0.0,0.0,1.0,100.0,17.0,17.0,17.0,17.0,1.0,118.7,,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0
38.0,6.0,0.0,2.0,3.0,66.7,17.0,0.0,0.0,0.0,0.0,1.0,25.0,16.0,5.7,5.67,8.5,2.8,81.2,15.3,1.0,5.0,25.0,3.0,3.0,0.0,0.0,0.16666666666666666
31.0,8.0,8.0,1.0,1.0,100.0,13.0,0.0,0.0,0.0,0.0,1.0,100.0,13.0,13.0,13.0,13.0,1.6,118.7,12.1,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0
24.0,4.0,0.0,2.0,2.0,100.0,11.0,0.0,0.0,0.0,0.0,1.0,50.0,6.0,5.5,5.5,5.5,2.8,89.6,47.6,0.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0
25.0,6.0,0.0,2.0,2.0,100.0,8.0,0.0,0.0,0.0,0.0,0.0,50.0,7.0,4.0,4.0,4.0,1.3,83.3,0.5,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
25.0,17.0,17.0,1.0,1.0,100.0,7.0,1.0,100.0,0.0,0.0,1.0,100.0,7.0,7.0,27.0,7.0,0.4,135.4,99.5,0.0,0.0,0.0,7.0,27.0,0.058823529411764705,0.0,0.0
26.0,4.0,0.0,1.0,1.0,100.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,5.0,5.0,5.0,5.0,1.3,87.5,88.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
36.0,17.0,0.0,1.0,2.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,2.0,4.0,0.2,56.2,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
31.0,17.0,0.0,1.0,1.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,3.0,3.0,0.2,79.2,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
27.0,14.0,14.0,1.0,1.0,100.0,3.0,1.0,100.0,0.0,0.0,1.0,100.0,3.0,3.0,23.0,3.0,0.2,118.7,100.0,0.0,0.0,0.0,3.0,23.0,0.07142857142857142,0.0,0.0
